,repository_name,language
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-server-side-template,Smarty
3,ads-pao-amznjs-gtm-template,Smarty
4,alexa-coho,JavaScript
5,alexa-skills-kit-js,
6,amazon-ads-advertiser-audience-normalization-sdk-py,Python
7,amazon-advertising-api-php-sdk,PHP
8,amazon-codeguru-profiler-for-spark,Java
9,amazon-frustration-free-setup-certification-tool,Python
10,amazon-hub-counter-api-docs,CSS
11,amazon-hub-counter-api-samples,Java
12,amazon-hub-counter-sdk-java,Java
13,amazon-hub-support,PowerShell
14,amazon-instant-access-sdk-java,Java
15,amazon-instant-access-sdk-net,C#
16,amazon-instant-access-sdk-php,PHP
17,amazon-instant-access-sdk-ruby,Ruby
18,amazon-launcher-integration-cordova-plugin,JavaScript
19,amazon-marketing-stream-examples,Python
20,amazon-mcf-plugin-for-magento-1,
21,amazon-multi-token-completion,Python
22,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
23,amazon-pay-api-sdk-dotnet,C#
24,amazon-pay-api-sdk-java,Java
25,amazon-pay-api-sdk-nodejs,JavaScript
26,amazon-pay-api-sdk-php,PHP
27,amazon-pay-api-sdk-ruby,Ruby
28,amazon-pay-code-samples,PHP
29,amazon-pay-sdk-csharp,C#
30,amazon-pay-sdk-java,Java
31,amazon-pay-sdk-php,PHP
32,amazon-pay-sdk-python,Python
33,amazon-pay-sdk-ruby,Ruby
34,amazon-payment-files-tools,Kotlin
35,amazon-payments-magento-2-plugin,PHP
36,amazon-ray,Python
37,amazon-s3-gst-plugin,C
38,amazon-sidewalk-android-samples,
39,amazon-sidewalk-ios-samples,Swift
40,amazon-succinct-doc-representation,Python
41,amazon-template-library,
42,amazon-weak-ner-needle,Python
43,amigitenough,Go
44,amzn-drivers,C
45,amzn-ec2-ena-utilities,Python
46,app-platform,Kotlin
47,armbench,Python
48,augment-the-pairs-wacv2024,Python
49,autotrail,
50,aws-apigateway-client-lib,
51,aws-sigv4-signing-samples,Java
52,AWSSecurityCareerPathwayActivityRust,Rust
53,awsssmchaosrunner,Kotlin
54,basis-point-sets,Python
55,BayesPE,Python
56,buy-with-prime-cdk-constructs,TypeScript
57,buy-with-prime-monitoring-sample-cdk,TypeScript
58,chalet-charging-location-for-electric-trucks,Python
59,computer-vision-basics-in-microsoft-excel,
60,confident-sinkhorn-allocation,Jupyter Notebook
61,convolutional-handwriting-gan,Python
62,cosearcher,Python
63,credence-to-causal-estimation,Python
64,data-jack-knife,Java
65,debiased-balanced-interleaving,Jupyter Notebook
66,differential-privacy-bayesian-optimization,Python
67,distance-assistant,Python
68,drs-sample-android-app,Java
69,drs-sample-ios-app,Objective-C
70,DynamicTrafficEngine,Java
71,efa-dp-direct,Cuda
72,emukit-playground,JavaScript
73,eslint-plugin-no-date-parsing,TypeScript
74,exoplayer-amazon-port,Java
75,explainable-text-vqa,
76,extremely-efficient-query-encoder,Python
77,faithful-data2text-cycle-training,Python
78,fashion-attribute-disentanglement,Python
79,fire-app-builder,Java
80,firetv-sample-touch-app,Java
81,fkat,Python
82,ftv-integration-sdk-sample-app,Kotlin
83,ftv-livetv-sample-tv-app,Java
84,gameon-sample-game-unity,C#
85,gameon-starter-kit-unity,C#
86,git-commit-template,JavaScript
87,glad,JavaScript
88,golang-gitoperations,Go
89,gpt-oss.java,Java
90,halo-third-party-sdk-for-java,Java
91,halo-third-party-sdk-for-node-js,TypeScript
92,halo-third-party-sdk-for-python,Python
93,hawktracer,C++
94,image-misspell-coling2020,
95,image-to-recipe-transformers,Python
96,informative-diverse-hard-negative-sampling,Python
97,ion-cascading-config,Java
98,ion-object-mapper-dotnet,C#
99,jekyll-doc-project,HTML
100,kotlin-inject-anvil,Kotlin
101,kqr,
102,lib-3d-scene-viewer,TypeScript
103,login-with-amazon-oscommerce,
104,login-with-amazon-wordpress,
105,media3-external-port,
106,merlin-on-demand-callgraph,JavaScript
107,metalearn-leap,Python
108,milan,Scala
109,MonitoringCustomMetrics,Python
110,mrc-net-6d-pose,Python
111,multiconer-baseline,Python
112,multilingual-keyphrase-generation,Python
113,multimodal-affinities,Python
114,MXFusion,Python
115,nimbus-jose-jwt_aws-kms-extension,Java
116,node-jose_aws-kms-extension,TypeScript
117,openapi-swift-code-generate,Swift
118,orthogonal-additive-gaussian-processes,Python
119,oss-attribution-builder,TypeScript
120,oss-contribution-tracker,TypeScript
121,oss-dashboard,Ruby
122,pecos,Python
123,pretraining-or-self-training,Python
124,python-jose_aws-kms-extension,Python
125,rdma-core,C
126,refuel-open-domain-qa,Python
127,rete-thewebconf-2022,Python
128,rheoceros,Python
129,robotiq-gripper-interface,C++
130,selling-partner-api-docs,
131,selling-partner-api-models,Mustache
132,selling-partner-api-php-release,PHP
133,selling-partner-api-postman,
134,selling-partner-api-samples,Java
135,selling-partner-api-sdk,PHP
136,seqzero,Python
137,service-model-swift-code-generate,Swift
138,sid-provision,Python
139,sid-signing-tool,Python
140,sketch-constructor,JavaScript
141,smoke-aws,Swift
142,smoke-aws-credentials,Swift
143,smoke-aws-generate,Swift
144,smoke-aws-support,Swift
145,smoke-dynamodb,Swift
146,smoke-framework,Swift
147,smoke-framework-application-generate,Swift
148,smoke-framework-examples,Swift
149,smoke-http,Swift
150,sparse-vqvae,Python
151,ss-aga-kgc,Python
152,sto-transformer,Python
153,supply-chain-simulation-environment,Python
154,tiny-attribution-generator,TypeScript
